Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
1/8/2014,1925.15,38.6,59.19,4537.14,697.87,210.26,1/8/2014,160.8,520.33,446.91,299.21,704.19,446.06,638.72,307.35,170.17
2/9/2014,2002.28,39.45,61.6,4722.23,706.8,216.47,2/9/2014,160.16,545.77,463.57,315.13,737.75,464.97,665.83,316.86,175.93
1/10/2014,1946.16,40.99,59.96,4575.61,648.71,215.14,1/10/2014,159.54,522.21,462.28,308.62,732.34,449.5,649.07,305.4,166.47
3/11/2014,2017.81,41.49,62.31,4747.17,630.16,232.53,3/11/2014,161.12,540.05,482.61,322.21,779.04,473.8,673.55,302.05,182.85
1/12/2014,2053.44,41.61,63.46,4826.6,588.74,233,1/12/2014,161.03,562.29,503.4,325.64,802.07,481.79,696.4,304.9,186.96
2/1/2015,2058.2,40.39,63.64,4840.6,589.12,241.51,2/1/2015,153.35,568.61,497.83,333.41,795.07,485.74,690.92,305.82,190.51
2/2/2015,2020.85,42.22,62.64,4760.6,574.66,246.84,2/2/2015,152.76,559.73,499.71,315.03,806.22,475.54,671.84,302.04,199
2/3/2015,2117.39,41.77,65.5,4991.85,573.51,224.2,2/3/2015,159.08,608.91,514.76,330.19,841.43,497.04,724.39,324.82,193.54
1/4/2015,2059.69,41.76,63.82,4866.29,566.79,225.93,1/4/2015,154.2,595.17,501.59,324.36,830.28,475.78,690.06,306.88,193.27
1/5/2015,2108.29,42.56,65.18,4971.6,604.75,225.85,1/5/2015,159.64,605.66,500.9,327.79,839.98,484.99,719.33,321.46,185.28
1/6/2015,2111.73,42.05,65.36,4981.09,570.14,225.01,1/6/2015,156.3,606.3,500.12,331.16,867.74,481.39,725.82,316.82,184.81
